,Year,ARG,BRA,COL,CHL,PER,ECU,BOL,URY,PRY,USA,GBR,CHN,JPN,DEU,IND,FRA,ITA,CAN,RUS,ZAF
7,2009,31.4,42.2,43.0,38.2,35.2,37.1,36.9,34.5,38.1,29.6,26.6,32.3,25.9,24.1,30.0,26.1,25.4,25.8,31.1,51.3
8,2010,32.0,41.9,43.5,37.8,34.2,37.5,35.2,33.6,40.5,29.3,26.8,32.6,25.7,24.0,30.0,27.1,26.2,25.7,30.6,51.3
9,2011,31.0,41.7,42.4,37.3,33.5,34.1,33.7,31.6,41.4,29.6,25.3,31.8,26.0,24.3,30.1,26.9,26.4,25.5,31.1,51.1
10,2012,29.7,42.6,41.4,37.4,33.3,34.6,33.7,29.2,36.9,29.8,24.6,31.5,26.2,24.4,30.1,26.9,26.4,25.3,32.2,50.9
11,2013,29.4,41.8,41.5,37.4,32.7,35.7,35.2,30.0,37.3,30.0,25.3,30.3,26.4,24.6,30.1,26.4,25.9,25.1,32.5,50.7
12,2014,29.9,41.2,41.5,36.8,32.2,34.4,36.0,29.8,40.7,30.1,26.1,29.7,26.4,24.7,30.1,26.1,25.5,25.1,31.9,50.5
13,2015,30.1,40.9,40.0,36.1,32.6,34.9,34.8,29.8,36.7,30.2,25.4,29.4,26.4,24.8,30.1,26.6,25.8,25.2,29.7,50.5
14,2016,30.3,42.1,40.0,36.1,32.6,34.3,32.1,29.6,37.3,30.4,26.8,29.4,26.4,24.6,30.1,25.9,26.0,25.3,28.6,50.5
15,2017,29.7,42.0,39.0,36.3,32.3,33.8,31.7,29.6,39.2,30.4,26.8,29.4,26.4,24.6,30.1,25.8,26.7,25.3,29.2,50.5
16,2018,29.9,42.5,39.7,36.3,32.1,34.4,30.4,29.7,35.9,30.4,26.8,29.4,26.4,24.6,30.1,25.8,26.7,25.3,29.9,50.5
