Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,33.8,33.8,32.5,31.4,32,31,29.7,29.4,29.9,30.1,30.3,29.7,29.9
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,44.1,43.2,42.5,42.2,41.9,41.7,42.6,41.8,41.2,40.9,42.1,42,42.5
Colombia,COL,Income share held by highest 10%,SI.DST.10TH.10,44,43.9,43.8,43,43.5,42.4,41.4,41.5,41.5,40,40,39,39.7
Chile,CHL,Income share held by highest 10%,SI.DST.10TH.10,37.9,38,38.1,38.2,37.8,37.3,37.4,37.4,36.8,36.1,36.1,36.3,36.3
Peru,PER,Income share held by highest 10%,SI.DST.10TH.10,38.2,37.8,35.4,35.2,34.2,33.5,33.3,32.7,32.2,32.6,32.6,32.3,32.1
Ecuador,ECU,Income share held by highest 10%,SI.DST.10TH.10,41.1,42,38.1,37.1,37.5,34.1,34.6,35.7,34.4,34.9,34.3,33.8,34.4
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,43.6,41.9,38.5,36.9,35.2,33.7,33.7,35.2,36,34.8,32.1,31.7,30.4
Uruguay,URY,Income share held by highest 10%,SI.DST.10TH.10,35,35.4,34.3,34.5,33.6,31.6,29.2,30,29.8,29.8,29.6,29.6,29.7
Paraguay,PRY,Income share held by highest 10%,SI.DST.10TH.10,42.4,42.5,40.1,38.1,40.5,41.4,36.9,37.3,40.7,36.7,37.3,39.2,35.9
United States,USA,Income share held by highest 10%,SI.DST.10TH.10,30.4,30.4,30,29.6,29.3,29.6,29.8,30,30.1,30.2,30.4,30.4,30.4
United Kingdom,GBR,Income share held by highest 10%,SI.DST.10TH.10,26.7,28,26.4,26.6,26.8,25.3,24.6,25.3,26.1,25.4,26.8,26.8,26.8
China,CHN,Income share held by highest 10%,SI.DST.10TH.10,32,32,32,32.3,32.6,31.8,31.5,30.3,29.7,29.4,29.4,29.4,29.4
Japan,JPN,Income share held by highest 10%,SI.DST.10TH.10,26.1,26.1,26.1,25.9,25.7,26,26.2,26.4,26.4,26.4,26.4,26.4,26.4
Germany,DEU,Income share held by highest 10%,SI.DST.10TH.10,24.9,25.2,24.8,24.1,24,24.3,24.4,24.6,24.7,24.8,24.6,24.6,24.6
India,IND,Income share held by highest 10%,SI.DST.10TH.10,30,30,30,30,30,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1
France,FRA,Income share held by highest 10%,SI.DST.10TH.10,23.5,26.2,26.7,26.1,27.1,26.9,26.9,26.4,26.1,26.6,25.9,25.8,25.8
Italy,ITA,Income share held by highest 10%,SI.DST.10TH.10,25.6,24.9,25.7,25.4,26.2,26.4,26.4,25.9,25.5,25.8,26,26.7,26.7
Canada,CAN,Income share held by highest 10%,SI.DST.10TH.10,26,26,25.9,25.8,25.7,25.5,25.3,25.1,25.1,25.2,25.3,25.3,25.3
Russian Federation,RUS,Income share held by highest 10%,SI.DST.10TH.10,31.3,32.8,32.5,31.1,30.6,31.1,32.2,32.5,31.9,29.7,28.6,29.2,29.9
South Africa,ZAF,Income share held by highest 10%,SI.DST.10TH.10,51.3,51.3,51.3,51.3,51.3,51.1,50.9,50.7,50.5,50.5,50.5,50.5,50.5
Portugal,PRT,Income share held by highest 10%,SI.DST.10TH.10,29.7,28.9,28.9,27.5,28.3,28.7,27.8,27.5,27.4,27.3,27.6,26.7,26.7
